"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",62,126,8.5,15,"Sophomore",3,1,82,66,7,50,52,7,"few",65
"male",70,160,10.5,5,"Junior",1,0,90,20,6.5,52,58,3,"hundreds",100
"female",65,148,9.5,20,"Sophomore",1,0,35,41,7,39,53,4,"few",95
"male",74,205,10.5,7,"Junior",0,3,72,1000,7,41,50,4,"millions",0
"female",64,130,8,20,"Sophomore",3,1,75,0,7,52,52,2,"few",80
"male",71,150,11,6,"Freshman",5,1,100,0,7,43,44,7,"hundreds",50
"female",68,145,10,35,"Sophomore",3,2,92,5,8,51,58,7,"few",70
"male",72,175,13,6,"Junior",2,2,30,11,7,59,64,8,"one",50
"male",71,140,10.5,5,"Sophomore",0,4,70,0,6,45,55,1,"few",50
"male",70,150,9.5,7,"Junior",3,1,100,65,6.5,57,62,5,"few",15
"female",63,112,6,7,"Sophomore",1,1,35,18,7.5,53,54,7,"few",100
"female",65,124,8.5,14,"Sophomore",0,0,40,7,6.5,35,44,6,"one",10
"male",71,140,9,15,"Sophomore",0,1,60,22,7,47,47,3,"few",80
"female",67,150,9.5,12,"Sophomore",4,0,103,19,9,53,53,10,"few",95
"male",74,184,13,4,"Sophomore",0,1,120,20,8,50,56,4,"dozens",75
"female",72,90,7.5,5,"Junior",0,1,30,10,7.5,54,53,1,"one",50
"female",67,200,10,6,"Senior",3,2,90,0,8,44,47,6,"one",40
"female",64,113,7,6,"Freshman",0,1,80,10,7,45,47,7,"few",20
"female",63,125,7,10,"Sophomore",0,1,60,30,8,41,44,8,"one",30
"female",68,102,10,35,"Senior",0,2,105,45,7,57,62,4,"dozens",35
"male",71,176,11,11,"Sophomore",0,1,100,1000,9,46,50,7,"hundreds",50
"female",62,115,6.5,20,"Sophomore",2,1,90,50,7.5,52,55,9,"one",50
"female",64,125,8,25,"Sophomore",3,2,90,0,7,45,45,5,"few",100
"male",72,300,13,4,"Junior",2,3,100,400,7.5,53,55,4,"one",100
"male",70,200,10.5,5,"Sophomore",3,2,155,38,6,50,52,5,"few",50
"female",64,145,7.5,25,"Sophomore",0,1,81,66,6.5,55,53,3,"few",100
"female",64,165,7.5,50,"Sophomore",5,4,100,4,8,47,47,3,"one",50
"female",67,135,8.5,8,"Freshman",4,2,115,0,7,48,51,10,"few",75
"female",65,130,9.5,26,"Junior",1,2,85,75,6.5,53,57,6,"few",67
"male",70,200,10.5,15,"Sophomore",4,3,95,1000,8,40,45,8,"few",10
"female",62,129,7.5,15,"Sophomore",0,3,97,22,7,42,55,3,"few",90
"female",68,130,7.5,15,"Junior",2,0,50,20,6.5,46,49,6,"few",80
"male",77,190,13,7,"Freshman",2,1,105,300,7,53,47,6,"dozens",0
"male",68,150,10,4,"Junior",6,1,85,0,8,47,55,4,"few",60
"female",61,98,6.5,26,"Sophomore",2,1,75,15,6.5,54,58,5,"few",95
"female",66,147,8.5,30,"Sophomore",1,2,97,65,6.5,49,51,3,"few",99
"male",68,135,8,5,"Sophomore",2,1,80,150,6,46,50,3,"one",25
"female",62,105,6.5,30,"Sophomore",0,2,110,80,8,53,51,9,"one",90
"female",64,135,8,30,"Sophomore",21,3,120,25,6,39,43,7,"few",50
"male",66,153,7.5,8,"Junior",2,2,85,45,6.5,59,59,3,"dozens",99
"male",68,154,10,10,"Sophomore",0,1,90,45,7.5,51,55,9,"few",15
"female",60,125,6.5,20,"Sophomore",0,3,20,150,7,56,58,3,"few",20
"female",62,113,6,35,"Junior",7,2,80,95,7,48,48,4,"millions",60
"female",62,105,8,11,"Senior",0,5,30,10,6.5,56,65,4,"few",20
"male",72,155,10.5,4,"Junior",0,2,20,69,6.5,55,57,7,"dozens",0
"female",61,117,6.5,15,"Sophomore",11,2,100,35,8,41,42,7,"few",30
"male",71,140,10,10,"Sophomore",4,2,100,50,7,46,50,6,"hundreds",50
"female",66,129,7,10,"Sophomore",1,3,30,20,7,55,60,4,"few",75
"male",71,170,10.5,7,"Senior",1,3,95,10,6.5,53,54,1,"one",50
"female",66,110,7.5,25,"Sophomore",3,2,80,0,7,53,54,4,"few",50
"female",60,106,5,20,"Sophomore",4,2,120,5,8,46,45,3,"one",50
"female",64,110,8,17,"Junior",3,3,90,40,8,58,59,7,"dozens",90
"female",65,156,10,20,"Sophomore",5,0,90,7,8.5,64,65,9,"few",80
"male",72,185,11,5,"Sophomore",3,2,100,55,7,53,52,8,"millions",75
"male",70,160,11,6,"Sophomore",0,1,110,200,8.5,43,53,4,"thousands",15
"female",67,109,8,15,"Junior",0,2,85,10,6.5,57,53,7,"few",50
"male",73,163,12,3,"Senior",2,3,110,10,6,45,43,5,"one",75
"female",70,190,10,5,"Sophomore",2,0,63,0,7,40,40,5,"one",50
"female",64,114,7.5,50,"Sophomore",1,2,110,500,7.5,48,54,7,"few",40
"male",72,168,11,4,"Freshman",1,1,90,30,7,56,58,6,"few",100
"male",69,160,11,10,"Junior",3,1,164,80,6.5,54,54,9,"few",40
"male",69,145,9.5,5,"Sophomore",0,1,105,24,7,46,50,9,"few",75
"female",65,110,6.5,9,"Junior",1,1,100,7,7,55,58,6,"few",50
"male",70,148,9.5,5,"Freshman",0,1,56,130,6.5,47,48,8,"few",10
"female",61,102,6.5,8,"Sophomore",1,1,90,150,6,48,63,4,"few",70
"female",63,140,8.5,30,"Freshman",3,2,100,45,6.5,56,62,7,"thousands",50
"male",70,190,12,4,"Sophomore",0,0,50,20,8,52,51,7,"none",50
"female",62,115,7,18,"Freshman",0,0,90,20,5.5,50,53,9,"few",40
"male",68,150,12,6,"Sophomore",2,2,111,31,6,46,47,4,"few",100
"male",68,180,10,13,"Freshman",2,2,120,35,6,44,40,9,"few",10
"female",62,126,6,10,"Sophomore",2,0,55,0,6,52,55,7,"few",100
"female",61,145,7,35,"Sophomore",1,1,135,27,6,56,60,5,"one",0
"female",67,170,10,40,"Sophomore",0,3,90,30,7,49,59,10,"one",10
"male",73,150,12,5,"Sophomore",4,2,100,0,7.5,63,61,4,"dozens",0
"female",65,160,9,8,"Sophomore",4,6,80,30,6,46,59,4,"one",60
"male",77,178,13.5,9,"Sophomore",12,3,115,0,8,53,60,4,"thousands",100
"female",62,149,7.5,4,"Senior",1,3,101,55,6,37,38,3,"dozens",40
"female",68,140,9,30,"Sophomore",0,1,90,150,6,54,54,9,"few",70
"female",66,115,8,25,"Sophomore",4,5,100,7,7,60,62,6,"few",65
"male",67,150,8.5,6,"Sophomore",3,2,90,50,6,55,55,1,"few",50
"female",66,145,8.5,20,"Sophomore",1,7,70,10,6.5,46,65,10,"one",75
"female",65,110,7.5,4,"Sophomore",1,7,62,200,9.5,40,50,7,"one",50
"female",63,161,6.5,4,"Senior",2,1,90,20,6.5,42,47,4,"few",50
"male",66,120,10.5,4,"Sophomore",2,0,80,1000,7.5,48,48,7,"few",90
"female",65,113,9,30,"Senior",25,3,95,16,7.5,47,48,10,"few",100
"male",72,205,12,4,"Senior",0,1,80,150,7.5,56,59,2,"one",100
"female",64,130,9,10,"Junior",3,3,90,20,6,49,52,8,"one",50
"female",69,133,9,24,"Freshman",0,1,100,20,8,51,53,3,"one",34
"male",72,154,13,6,"Junior",5,0,100,34,6.5,47,48,3,"one",50
"female",65,125,7.5,10,"Sophomore",0,1,90,100,7,47,49,5,"one",50
"female",71,136,9,30,"Sophomore",1,1,100,20,8,53,51,4,"one",75
"female",67,149,8.5,15,"Junior",4,2,90,6,7,48,52,8,"dozens",100
"male",71,200,12,3,"Freshman",2,2,90,90,7,42,46,7,"dozens",60
"female",63,160,7.5,15,"Sophomore",2,11,80,0,4,47,48,2,"one",75
"male",68,160,9.5,10,"Sophomore",3,3,50,20,8,36,39,2,"one",15
"female",62,260,8,7,"Sophomore",5,4,92,1000,7,49,51,8,"one",12
"male",71,144,9,5,"Sophomore",1,1,83,4,7,56,57,5,"few",10
"female",67,190,8,8,"Sophomore",2,0,80,200,6,48,52,6,"few",90
"female",61,105,6.5,15,"Sophomore",0,1,80,30,6.5,48,51,2,"one",50
"female",59,145,6,38,"Senior",1,2,58,20,6,51,60,3,"thousands",99
"female",65,145,7.5,20,"Sophomore",1,1,85,20,10,50,53,9,"few",50
"female",60,122,6,12,"Freshman",0,1,85,60,9,52,52,10,"few",50
"female",61,125,8.5,8,"Freshman",10,1,80,20,8,50,50,7,"one",0
"female",63,100,7.5,10,"Sophomore",0,1,65,3,6,47,43,7,"few",0
"female",64,130,7,20,"Senior",0,2,85,35,6,50,48,4,"few",75
"male",68,137,9.5,7,"Senior",8,1,107,130,7,43,43,3,"few",95
"male",70,175,11.5,4,"Sophomore",1,2,100,28,8.5,48,49,7,"dozens",75
"female",67,130,8.5,10,"Freshman",30,5,150,20,6,46,54,3,"one",50
"male",74,170,12,10,"Sophomore",5,2,105,33,6.5,53,52,7,"one",25
"male",75,170,13.5,15,"Sophomore",1,1,120,100,7.5,51,52,1,"few",50
"female",64,135,7.5,10,"Sophomore",4,3,110,13,7,55,60,4,"few",50
"female",62,140,8,8,"Freshman",2,4,70,5,6,36,38,6,"few",65
"female",64,144,7.5,35,"Sophomore",1,3,85,7,7.5,41,45,5,"few",40
"female",62,112,7,13,"Sophomore",0,1,90,70,7,50,48,8,"one",80
"female",61,100,6,6,"Sophomore",0,2,75,20,6,55,60,6,"few",50
"female",65,131,7,18,"Freshman",2,2,85,70,7.5,54,52,2,"few",44
"female",66,117,8,8,"Sophomore",5,1,90,0,7,48,52,2,"few",50
"female",64,108,6.5,20,"Sophomore",3,2,100,50,7.5,49,45,4,"one",100
"female",64,118,6.5,25,"Sophomore",1,1,95,6,9,60,63,5,"few",25
"female",64,113,6.5,33,"Sophomore",0,1,90,120,7,50,55,8,"one",30
"male",74,180,10.5,4,"Sophomore",10,2,110,13,8,47,49,8,"few",50
"female",64,130,9,11,"Freshman",0,2,60,15,6.5,59,59,9,"one",50
"female",62,105,6,8,"Freshman",4,1,80,35,6.5,55,53,7,"dozens",100
"male",78,150,9.5,5,"Senior",5,1,116,0,8,50,51,7,"one",50
"female",62,120,7.5,7,"Sophomore",0,4,85,90,7.5,46,48,6,"few",50
"male",66,162,10.5,5,"Sophomore",2,4,75,25,6.5,61,65,3,"few",100
"female",61,130,6,30,"Sophomore",2,2,85,10,9,49,52,4,"few",90
"male",71,154,10.5,15,"Sophomore",1,1,139,46,7,53,58,8,"hundreds",85
"female",67,130,10,15,"Junior",2,3,90,80,7,59,62,1,"few",90
"female",67,130,8,10,"Sophomore",1,2,95,35,9,53,56,3,"one",100
"female",68,155,9,50,"Freshman",0,2,95,45,5,46,50,10,"one",100
"female",69,201,9.5,21,"Sophomore",5,1,95,13,7,49,48,5,"few",70
"female",66,130,5,14,"Sophomore",6,4,75,44,6.5,40,44,6,"one",100
"female",60,115,6,20,"Junior",0,2,65,0,6.5,56,60,3,"one",50
"female",61,135,5.5,20,"Sophomore",2,1,90,200,8,45,47,3,"one",50
"female",65,226,8,29,"Senior",1,1,65,3,5,65,60,10,"few",100
"male",77,185,12,7,"Junior",4,2,140,100,6.5,47,51,7,"dozens",100
"male",70,177,10,6,"Junior",0,1,120,40,7.5,46,51,6,"hundreds",100
"female",61,115,8.5,12,"Freshman",6,1,80,5,8,50,57,7,"one",15
"male",71,172,9.5,13,"Sophomore",2,2,102,0,7,52,65,3,"millions",6
"male",71,175,10,7,"Junior",0,2,110,3,6,48,48,1,"few",50
"female",63,165,7.5,25,"Sophomore",4,4,75,5,7.5,58,55,5,"one",35
"female",69,154,8,10,"Sophomore",3,2,90,200,6,51,52,3,"few",40
"male",72,170,11.5,14,"Sophomore",1,3,105,0,6.5,49,49,8,"few",0
"male",70,150,10,5,"Sophomore",2,1,90,10,6,49,49,9,"one",40
"female",66,130,7.5,13,"Senior",3,1,90,20,6,60,59,4,"dozens",90
"female",67,121,10,10,"Sophomore",0,3,80,80,6,50,52,4,"few",50
"female",66,169,10,30,"Senior",0,7,95,44,6.5,46,44,7,"few",10
"female",69,133,9.5,14,"Junior",5,1,95,0,6.5,39,41,4,"one",95
"female",60,87,6,50,"Sophomore",1,4,100,40,7,51,52,3,"few",100
"female",63,133,7,28,"Sophomore",5,1,83,15,6,37,39,7,"one",100
"male",74,185,11.5,9,"Freshman",3,2,83,1,6.5,53,62,6,"one",98
"female",65,116,8.5,45,"Sophomore",0,2,130,300,7,46,52,5,"millions",10
"female",68,135,9,8,"Sophomore",9,6,86,8,9,46,46,8,"one",100
"female",64,116,7.5,20,"Sophomore",0,2,60,10,6,55,58,5,"one",60
"female",62,128,8,8,"Sophomore",6,1,100,11,7.5,45,46,5,"one",53
"female",59,115,7,21,"Freshman",4,5,80,30,7,48,48,7,"few",10
"female",63,125,6.5,11,"Sophomore",7,3,85,0,8,49,50,8,"few",75
"male",70,240,11,5,"Senior",5,3,113,10,7.5,46,48,8,"one",20
"female",65,145,8,40,"Junior",0,3,80,10,6.5,54,65,8,"hundreds",45
"male",73,194,10.5,10,"Sophomore",1,4,100,0,6.5,60,61,4,"hundreds",95
"male",70,162,10.5,10,"Sophomore",1,3,103,20,9.5,51,55,7,"dozens",10
"female",67,163,10.5,4,"Senior",8,2,64,3,5,46,47,4,"one",92
"female",67,160,7,10,"Sophomore",7,5,110,5,7,49,52,7,"few",50
"female",64,160,9,50,"Junior",1,4,100,0,8,40,40,3,"few",50
"female",63,110,8,12,"Sophomore",1,5,80,500,9,39,52,3,"few",25
"female",67,125,7.5,16,"Sophomore",2,1,90,11,6,52,50,8,"few",50
"male",73,160,11.5,4,"Sophomore",0,2,70,7,8,43,46,2,"few",20
"male",68,155,10.5,6,"Sophomore",4,2,98,14,6.5,48,47,2,"thousands",15
"male",67,140,9.5,5,"Sophomore",0,1,90,0,8,46,47,8,"none",2
"female",70,140,9.5,25,"Sophomore",1,1,90,70,7,50,51,8,"dozens",100
"female",64,134,7.5,14,"Freshman",10,2,90,300,8.5,59,65,8,"dozens",80
"male",69,155,10.5,3,"Junior",5,3,105,120,7,49,48,8,"hundreds",100
"female",59,154,4.5,4,"Sophomore",3,6,80,900,8,38,48,6,"one",30
"male",73,200,11,3,"Sophomore",4,2,95,20,7.5,49,46,4,"hundreds",75
"female",63,145,9.5,15,"Junior",1,3,90,2,7,64,64,6,"few",10
"male",75,203,13,15,"Sophomore",1,2,100,100,6.5,54,55,4,"dozens",100
"female",60,127,7.5,17,"Sophomore",2,1,93,2,7.5,52,54,7,"few",55
"female",63,105,7,14,"Sophomore",5,3,65,0,7,44,46,7,"one",70
"male",76,172,10,7,"Junior",3,3,110,5,5,51,50,1,"few",100
"female",66,135,8,20,"Sophomore",5,2,90,40,6,52,53,7,"few",80
"male",71,240,12,1,"Junior",0,3,85,86,8,48,50,6,"one",75
"female",65,165,9.5,16,"Sophomore",0,1,80,61,7,41,40,3,"one",25
"male",72,300,14,4,"Sophomore",7,1,100,56,6.5,50,57,7,"dozens",100
"female",67,151,9.5,23,"Junior",2,2,84,42,7,59,63,8,"few",90
"female",63,114,7,12,"Sophomore",0,1,80,49,5.5,47,57,4,"one",75
"female",62,116,7.5,12,"Sophomore",0,1,80,45,6,47,50,2,"few",90
"male",68,215,9.5,5,"Sophomore",7,3,90,20,7.5,48,51,4,"one",90
"female",70,165,9,20,"Sophomore",3,2,65,0,8.5,40,49,7,"dozens",100
"male",69,170,11.5,3,"Junior",2,3,100,62,8,53,53,2,"thousands",25
"female",64,140,8.5,43,"Sophomore",4,1,100,0,9,46,47,2,"one",50
"male",73,225,13,3,"Sophomore",1,0,120,80,7.5,63,60,8,"dozens",10
"female",69,130,10,18,"Sophomore",0,3,92,150,8.5,59,63,5,"dozens",50
"female",65,110,7.5,10,"Sophomore",1,2,70,9,6.5,41,44,5,"few",100
"female",69,128,8,8,"Junior",7,4,100,11,7,53,54,3,"few",80
"female",67,130,8.5,10,"Sophomore",5,2,80,60,6,49,48,6,"few",60
"male",70,195,11,3,"Sophomore",2,3,140,35,7.5,55,57,3,"thousands",25
"male",66,115,9,6,"Freshman",3,3,89,22,8,51,55,8,"thousands",99
"female",61,100,6.5,20,"Sophomore",5,2,95,25,8,50,53,8,"one",6
"female",63,96,6.5,15,"Sophomore",11,1,60,500,8.5,48,50,7,"few",10
"male",69,165,9.5,5,"Senior",13,3,120,105,6,49,52,10,"dozens",50
"female",68,233,11,8,"Junior",0,3,95,2,5.5,36,37,4,"few",40
"male",73,190,12,9,"Freshman",6,1,105,87,8.5,48,49,10,"dozens",100
"male",74,170,13,6,"Sophomore",0,2,80,50,6,54,53,2,"thousands",80
"female",62,120,7,26,"Freshman",11,1,120,51,7.5,52,53,6,"dozens",100
"male",71,180,9.5,10,"Senior",0,1,120,9,6,53,62,1,"millions",0
"female",60,145,6,15,"Senior",1,4,100,0,7,55,57,3,"one",75
"male",67,150,11,6,"Senior",4,7,125,0,7,44,55,7,"dozens",25
"female",62,111,6,5,"Sophomore",0,5,37,40,8.5,57,62,2,"one",90
"female",65,240,9.5,10,"Junior",0,4,85,2,6,40,36,7,"few",25
"male",72,177,11,6,"Sophomore",4,1,90,36,8,48,50,10,"hundreds",85
"female",63,127,6.5,15,"Sophomore",3,2,100,55,8,54,55,5,"one",100
"female",74,185,11,20,"Freshman",2,2,85,200,7,52,53,4,"few",50
"female",65,125,8,60,"Sophomore",4,1,85,6,7,55,65,5,"one",100
"male",70,132,8,6,"Sophomore",2,1,125,22,8,51,53,7,"one",85
"female",59,126,6.5,20,"Sophomore",2,12,85,0,7,35,38,3,"few",2
"female",67,205,10,20,"Senior",15,1,100,7,7,57,56,8,"few",20
"male",69,187,11.5,7,"Junior",0,2,92,20,6.5,47,50,6,"few",90
"female",67,212,9.5,11,"Senior",2,1,80,60,8.5,54,50,3,"few",100
"male",73,165,12,10,"Sophomore",1,2,100,20,7.5,56,57,5,"one",100
"male",77,215,13,5,"Sophomore",10,4,140,200,7.5,46,48,4,"few",10
"male",69,145,10,10,"Sophomore",2,2,95,2,9,51,53,4,"few",90
"male",72,165,12,12,"Senior",7,1,103,63,7,51,54,7,"one",100
"female",64,137,7.5,35,"Junior",5,2,90,70,6,46,52,2,"one",100
"female",60,95,6,12,"Sophomore",1,1,75,45,8,49,64,5,"dozens",75
"female",62,113,6.5,6,"Freshman",1,1,40,25,7.5,43,46,3,"few",75
"male",76,203,13,4,"Sophomore",3,2,126,20,6.5,49,54,3,"hundreds",25
"female",68,132,8,30,"Sophomore",1,1,90,200,7,54,55,5,"dozens",50
"female",69,140,8.5,32,"Sophomore",6,1,90,10,7,51,50,3,"few",50
"female",62,150,7,17,"Senior",0,2,100,50,6,46,47,7,"one",90
"female",63,114,7,20,"Sophomore",4,1,98,200,5.5,53,56,6,"one",95
"female",66,200,8.5,15,"Sophomore",2,1,90,15,7,48,49,8,"one",75
"female",64,110,8.5,23,"Sophomore",2,1,88,0,7,55,55,5,"one",99
"female",67,250,8.5,15,"Sophomore",6,2,56,13,6,44,44,4,"few",50
"male",66,140,9,25,"Sophomore",3,1,140,60,6,42,41,7,"hundreds",45
"male",72,153,12,10,"Junior",10,3,110,5,7,54,55,8,"one",75
"female",63,127,7.5,10,"Freshman",0,2,85,100,7,47,46,8,"few",10
"female",61,105,5,38,"Sophomore",1,1,95,8,7,50,52,7,"few",20
"female",68,260,10,21,"Sophomore",3,2,87,28,6.5,44,46,9,"few",65
"female",63,135,7,20,"Sophomore",1,3,105,2,8,35,36,6,"one",20
"female",60,105,6.5,8,"Sophomore",12,2,65,50,7,46,45,5,"few",100
"female",64,110,7,13,"Sophomore",1,2,85,300,7,45,51,8,"few",90
"female",66,190,9.5,10,"Junior",0,2,90,4,7,40,47,6,"one",100
"male",63,123,7,4,"Sophomore",7,1,65,49,9,53,55,3,"one",100
"female",62,120,7,20,"Freshman",4,2,90,100,7,48,51,7,"few",80
"male",76,180,11.5,4,"Sophomore",3,1,135,0,7.5,55,62,3,"few",50
"male",71,220,12.5,8,"Senior",5,1,120,95,7,42,43,2,"few",20
"female",61,145,5.5,12,"Sophomore",2,1,100,100,8,45,51,3,"few",100
"male",69,147,10.5,8,"Junior",1,3,120,60,8,51,50,4,"one",90
"female",66,120,9.5,38,"Junior",5,1,85,20,6,51,50,6,"dozens",100
